21393;27.86;30.52;101165.37;-13.8;32.53;-0.13;0.13;1.08;-23.73;-10.11;-64.64
21509;27.86;30.53;101171.82;-14.34;32.53;-0.07;0.09;1.14;-17.74;-19.19;-32.56
21624;27.86;30.53;101165.89;-13.85;32.53;-0.06;0.08;1;15.94;-5.51;-4.95
21737;27.86;30.52;101169.03;-14.11;32.53;-0.01;0.16;1.21;-64.53;-43.68;66
21852;27.86;30.53;101169.96;-14.18;32.53;0.07;0.02;1.16;-6.9;-30.78;38.46
21964;27.86;30.54;101170.88;-14.26;32.53;0.01;-0.01;1.19;-28.56;-18.99;15.24
22079;27.86;30.54;101171.11;-14.09;32.53;0.09;0;1.24;-34.09;-7.8;11.59
22193;27.86;30.54;101170.6;-14.24;32.53;0.05;-0.02;1.19;-0.67;-23.05;16.9
22306;27.86;30.55;101171.67;-14.33;32.53;0.08;-0.05;1.07;25.77;0.26;20
22418;27.86;30.54;101167.16;-13.95;32.53;0.04;-0.06;1.08;62.06;-13.69;17.95
22532;27.86;30.55;101170.14;-14.2;32.53;0.12;0.06;1.06;-27.8;-2.99;-5.85
22645;27.86;30.54;101168.17;-14.04;32.53;-0.07;0.02;1.25;8.81;-12.29;1.24
22757;27.86;30.54;101167.67;-13.99;32.53;0.35;-0.15;1.17;3.45;33.6;106.17
22870;27.86;30.55;101170.49;-14.23;32.53;0.21;-0.04;1.1;39.33;155.11;34.92
22983;27.86;30.54;101170.03;-14.19;32.53;0;-0.01;1.02;-4.56;-8.49;5.45
23095;27.86;30.55;101165.72;-13.83;32.53;0.04;-0.01;1.08;-10.24;3.01;3.11
23206;27.86;30.56;101169.38;-14.14;32.53;0.05;0;1.08;-7.89;-2.23;2
23318;27.86;30.55;101168.25;-14.05;32.53;0.05;-0.01;1.08;-5.85;-2.81;0.95
23430;27.86;30.55;101168.6;-14.07;32.53;0.05;-0.01;1.07;-5.62;-2.82;1.33
23541;27.86;30.55;101167.75;-14;32.53;0.05;-0.02;1.08;-6.23;-2.9;1.04
23653;27.86;30.55;101168.77;-14.29;32.53;0.05;-0.01;1.08;-7.1;-2.23;1.57
23764;27.86;30.56;101169.72;-14.17;32.53;0.05;-0.01;1.08;-6.95;-2.21;1.1
23876;27.86;30.56;101171.72;-14.33;32.53;0.05;-0.01;1.09;-7.36;-1.8;1.63
23988;27.86;30.55;101169.44;-14.14;32.53;0.04;-0.01;1;;;
